"module name","license","repository"
"@adobe/css-tools@4.4.4","MIT","https://github.com/adobe/css-tools"
"@alloc/quick-lru@5.2.0","MIT","https://github.com/sindresorhus/quick-lru"
"@ampproject/remapping@2.3.0","Apache-2.0","https://github.com/ampproject/remapping"
"@asamuzakjp/css-color@4.0.5","MIT","https://github.com/asamuzaK/cssColor"
"@asamuzakjp/dom-selector@6.5.6","MIT","https://github.com/asamuzaK/domSelector"
"@asamuzakjp/nwsapi@2.3.9","MIT","https://github.com/dperini/nwsapi"
"@babel/code-frame@7.27.1","MIT","https://github.com/babel/babel"
"@babel/compat-data@7.27.3","MIT","https://github.com/babel/babel"
"@babel/core@7.27.3","MIT","https://github.com/babel/babel"
"@babel/generator@7.27.3","MIT","https://github.com/babel/babel"
"@babel/helper-compilation-targets@7.27.2","MIT","https://github.com/babel/babel"
"@babel/helper-module-imports@7.27.1","MIT","https://github.com/babel/babel"
"@babel/helper-module-transforms@7.27.3","MIT","https://github.com/babel/babel"
"@babel/helper-plugin-utils@7.27.1","MIT","https://github.com/babel/babel"
"@babel/helper-string-parser@7.27.1","MIT","https://github.com/babel/babel"
"@babel/helper-validator-identifier@7.27.1","MIT","https://github.com/babel/babel"
"@babel/helper-validator-option@7.27.1","MIT","https://github.com/babel/babel"
"@babel/helpers@7.27.3","MIT","https://github.com/babel/babel"
"@babel/parser@7.27.3","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-react-jsx-self@7.27.1","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-react-jsx-source@7.27.1","MIT","https://github.com/babel/babel"
"@babel/runtime@7.27.3","MIT","https://github.com/babel/babel"
"@babel/runtime@7.28.4","MIT","https://github.com/babel/babel"
"@babel/template@7.27.2","MIT","https://github.com/babel/babel"
"@babel/traverse@7.27.3","MIT","https://github.com/babel/babel"
"@babel/types@7.27.3","MIT","https://github.com/babel/babel"
"@csstools/color-helpers@5.1.0","MIT-0","https://github.com/csstools/postcss-plugins"
"@csstools/css-calc@2.1.4","MIT","https://github.com/csstools/postcss-plugins"
"@csstools/css-color-parser@3.1.0","MIT","https://github.com/csstools/postcss-plugins"
"@csstools/css-parser-algorithms@3.0.5","MIT","https://github.com/csstools/postcss-plugins"
"@csstools/css-syntax-patches-for-csstree@1.0.14","MIT-0","https://github.com/csstools/postcss-plugins"
"@csstools/css-tokenizer@3.0.4","MIT","https://github.com/csstools/postcss-plugins"
"@dnd-kit/accessibility@3.1.1","MIT","https://github.com/clauderic/dnd-kit"
"@dnd-kit/core@6.3.1","MIT","https://github.com/clauderic/dnd-kit"
"@dnd-kit/sortable@10.0.0","MIT","https://github.com/clauderic/dnd-kit"
"@dnd-kit/utilities@3.2.2","MIT","https://github.com/clauderic/dnd-kit"
"@emotion/babel-plugin@11.13.5","MIT","https://github.com/emotion-js/emotion/tree/main/packages/babel-plugin"
"@emotion/cache@11.14.0","MIT","https://github.com/emotion-js/emotion/tree/main/packages/cache"
"@emotion/hash@0.9.2","MIT","https://github.com/emotion-js/emotion/tree/main/packages/hash"
"@emotion/is-prop-valid@1.3.1","MIT","https://github.com/emotion-js/emotion/tree/main/packages/is-prop-valid"
"@emotion/memoize@0.9.0","MIT","https://github.com/emotion-js/emotion/tree/main/packages/memoize"
"@emotion/react@11.14.0","MIT","https://github.com/emotion-js/emotion/tree/main/packages/react"
"@emotion/serialize@1.3.3","MIT","https://github.com/emotion-js/emotion/tree/main/packages/serialize"
"@emotion/sheet@1.4.0","MIT","https://github.com/emotion-js/emotion/tree/main/packages/sheet"
"@emotion/styled@11.14.0","MIT","https://github.com/emotion-js/emotion/tree/main/packages/styled"
"@emotion/unitless@0.10.0","MIT","https://github.com/emotion-js/emotion/tree/main/packages/unitless"
"@emotion/use-insertion-effect-with-fallbacks@1.2.0","MIT","https://github.com/emotion-js/emotion/tree/main/packages/use-insertion-effect-with-fallbacks"
"@emotion/utils@1.4.2","MIT","https://github.com/emotion-js/emotion/tree/main/packages/utils"
"@emotion/weak-memoize@0.4.0","MIT","https://github.com/emotion-js/emotion/tree/main/packages/weak-memoize"
"@esbuild/darwin-arm64@0.25.5","MIT","https://github.com/evanw/esbuild"
"@floating-ui/core@1.7.0","MIT","https://github.com/floating-ui/floating-ui"
"@floating-ui/dom@1.7.0","MIT","https://github.com/floating-ui/floating-ui"
"@floating-ui/react-dom@2.1.2","MIT","https://github.com/floating-ui/floating-ui"
"@floating-ui/utils@0.2.9","MIT","https://github.com/floating-ui/floating-ui"
"@headless-tree/core@1.4.0","MIT","https://github.com/lukasbach/headless-tree"
"@headless-tree/react@1.4.0","MIT","https://github.com/lukasbach/headless-tree"
"@hookform/resolvers@5.0.1","MIT","https://github.com/react-hook-form/resolvers"
"@isaacs/cliui@8.0.2","ISC","https://github.com/yargs/cliui"
"@jridgewell/gen-mapping@0.3.8","MIT","https://github.com/jridgewell/gen-mapping"
"@jridgewell/resolve-uri@3.1.2","MIT","https://github.com/jridgewell/resolve-uri"
"@jridgewell/set-array@1.2.1","MIT","https://github.com/jridgewell/set-array"
"@jridgewell/sourcemap-codec@1.5.0","MIT","https://github.com/jridgewell/sourcemap-codec"
"@jridgewell/sourcemap-codec@1.5.5","MIT","https://github.com/jridgewell/sourcemaps"
"@jridgewell/trace-mapping@0.3.25","MIT","https://github.com/jridgewell/trace-mapping"
"@nodelib/fs.scandir@2.1.5","MIT","https://github.com/nodelib/nodelib/tree/master/packages/fs/fs.scandir"
"@nodelib/fs.stat@2.0.5","MIT","https://github.com/nodelib/nodelib/tree/master/packages/fs/fs.stat"
"@nodelib/fs.walk@1.2.8","MIT","https://github.com/nodelib/nodelib/tree/master/packages/fs/fs.walk"
"@pkgjs/parseargs@0.11.0","MIT","https://github.com/pkgjs/parseargs"
"@playwright/test@1.55.0","Apache-2.0","https://github.com/microsoft/playwright"
"@radix-ui/number@1.1.1","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/primitive@1.1.2","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/primitive@1.1.3","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-accordion@1.2.11","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-alert-dialog@1.1.14","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-arrow@1.1.7","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-avatar@1.1.10","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-checkbox@1.3.2","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-collapsible@1.1.11","MIT","https://github.com/radix-ui/primitives"
